ResponseName,ReleaseDate,Metacritic,RecommendationCount,IsFree,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,After2014,Expensive
DOOM II,2007.0,83,1279,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
QUAKE,2007.0,94,1266,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
QUAKE II,2007.0,0,660,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
HeXen: Beyond Heretic,2007.0,0,158,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Heretic: Shadow of the Serpent Riders,2007.0,0,241,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
The Ship: Murder Party,2006.0,76,5026,True,False,True,True,False,False,False,True,False,False,False,False,False,False,9.99,0,0
The Ship: Single Player,2006.0,0,706,False,False,True,True,False,False,False,True,False,False,False,False,False,False,0.0,0,0
Bloody Good Time,2010.0,73,716,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Shadowgrounds,2006.0,74,973,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,0,0
RIP - Trilogy(tm),2007.0,0,291,False,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,0,0
RIP - Trilogy(tm),2007.0,0,291,False,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,0,0
RIP - Trilogy(tm),2007.0,0,291,False,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,0,0
Vigil: Blood Bitterness(tm),2007.0,61,129,True,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0
Alpha Prime,2007.0,59,984,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,0,0
Vampire: The Masquerade - Bloodlines,2007.0,80,3983,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
GUN(tm),2006.0,76,351,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Call of Duty(r),2006.0,91,851,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Call of Duty(r) 2,2006.0,86,1307,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
Call of Duty: United Offensive,2006.0,87,318,False,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,0,0
